nuovo distributore di bibite, calcolerà i prezzi in base al clima
lucio dalla, dice ciao al novecento
la panca, è quastione di vita o morte per la capra
stivali geografici, italia arabia nuova zelanda
nel medio evo, niente tv solo giullari e trovatori
hillary clinton, impersonerà se stessa in una fiction
la tromba, fatta d'aria di scale o di ottoni
film regista e attore, gallo cedrone carlo verdone
il temperino, gira e rigira la spunterà sempre lui 
regola di bellezza, più sonno meno rughe
la chiocciola, sposta dodici volte il peso del suo corpo
il pittore in mare, fa schizzi dappertutto
sei così magro che..., ti si fa una radiografia con un cerino
dura molto a lungo, acciaio inossidabile
la boxe, disciplina di mohammed alì
il pupazzo di neve, solo il caldo lo fa tremare
due parole con un nesso, napoleone svolgimento
internet, il mondo in uno schermo
i funghi, spuntano quando piove
le luci, sono le protagoniste del natale
capi militari, la buschina e l'uniforme
la macchina del tempo, può viaggiare a ritroso
ai tempi di gesù, i farisei avversavano i sadducei 
il mappamondo, è un globo girevole
su interne, un sito per le lettere a babbo natale
oscar luigi scalfaro, fa sempre il discorso di capodanno
a betlemma, si parlava l'aramaico
patty pravo, la facevano girare come una bambola
l'albero di natale, è il simbolo della croce
bing crosby, ha cantato bianco natale
le amazzoni, vinsero le battaglie grazie alla loro fuga
l'antarico, montagne di ghiaccio e un mare di neve